Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,minkowski,average,1,,,,4.81
CC General,4,minkowski,complete,1,,,,4.99
CC General,4,minkowski,single,1,,,,3.14
COVID-19,4,minkowski,average,33,0.49,316.43,0.56,0.03
COVID-19,4,minkowski,complete,46,0.44,371.76,0.6,0.04
COVID-19,4,minkowski,single,5,-0.28,16.65,1.51,0.01
Credit Card,4,minkowski,average,5,0.72,1510.21,0.41,0.06
Credit Card,4,minkowski,complete,7,0.67,1828.76,0.45,0.05
Credit Card,4,minkowski,single,1,,,,0.02
Mall Customer,4,minkowski,average,13,0.66,894.21,0.34,0.02
Mall Customer,4,minkowski,complete,20,0.57,1491.92,0.43,0.02
Mall Customer,4,minkowski,single,6,0.32,68.93,0.97,0.01
Sales Transactions,4,minkowski,average,6,0.36,346.63,0.75,0.04
Sales Transactions,4,minkowski,complete,15,0.35,474.2,0.95,0.09
Sales Transactions,4,minkowski,single,1,,,,0.03
Wholesale,4,minkowski,average,10,0.48,443.5,0.73,0.03
Wholesale,4,minkowski,complete,23,0.44,529.21,0.74,0.04
Wholesale,4,minkowski,single,1,,,,0.01
