Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,euclidean,ward,11,0.44,6913.47,0.99,2.44
CC General,4,euclidean,average,1,,,,1.56
CC General,4,euclidean,complete,1,,,,1.63
CC General,4,euclidean,single,1,,,,0.32
COVID-19,4,euclidean,ward,57,0.45,438.41,0.59,0.01
COVID-19,4,euclidean,average,33,0.49,316.43,0.56,0.01
COVID-19,4,euclidean,complete,46,0.44,371.76,0.6,0.01
COVID-19,4,euclidean,single,5,-0.28,16.65,1.51,0.0
Credit Card,4,euclidean,ward,16,0.67,4077.22,0.51,0.02
Credit Card,4,euclidean,average,5,0.72,1510.21,0.41,0.02
Credit Card,4,euclidean,complete,7,0.67,1828.76,0.45,0.01
Credit Card,4,euclidean,single,1,,,,0.0
Mall Customer,4,euclidean,ward,25,0.58,2308.97,0.45,0.01
Mall Customer,4,euclidean,average,13,0.66,894.21,0.34,0.01
Mall Customer,4,euclidean,complete,20,0.57,1491.92,0.43,0.01
Mall Customer,4,euclidean,single,6,0.32,68.93,0.97,0.0
Sales Transactions,4,euclidean,ward,38,0.35,592.67,0.86,0.02
Sales Transactions,4,euclidean,average,6,0.36,346.63,0.75,0.02
Sales Transactions,4,euclidean,complete,15,0.35,474.2,0.95,0.02
Sales Transactions,4,euclidean,single,1,,,,0.0
Wholesale,4,euclidean,ward,40,0.42,646.67,0.76,0.01
Wholesale,4,euclidean,average,10,0.48,443.5,0.73,0.01
Wholesale,4,euclidean,complete,23,0.44,529.21,0.74,0.01
Wholesale,4,euclidean,single,1,,,,0.0
