Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,3,cosine,average,122,0.32,3008.37,1.51,2.28
CC General,3,cosine,complete,262,0.23,2646.43,1.86,2.37
CC General,3,cosine,single,4,-0.35,0.15,3.81,1.64
COVID-19,3,cosine,average,46,0.42,287.82,0.5,0.01
COVID-19,3,cosine,complete,57,0.44,554.01,0.56,0.01
COVID-19,3,cosine,single,16,-0.07,22.18,0.95,0.01
Credit Card,3,cosine,average,25,0.59,5958.74,0.44,0.02
Credit Card,3,cosine,complete,38,0.53,7598.18,0.57,0.02
Credit Card,3,cosine,single,9,0.5,1483.64,0.46,0.01
Mall Customer,3,cosine,average,11,0.68,1186.8,0.32,0.0
Mall Customer,3,cosine,complete,14,0.63,1028.84,0.36,0.01
Mall Customer,3,cosine,single,5,0.68,596.56,0.31,0.0
Sales Transactions,3,cosine,average,55,0.32,693.6,0.81,0.03
Sales Transactions,3,cosine,complete,94,0.32,856.09,0.85,0.03
Sales Transactions,3,cosine,single,4,-0.42,0.26,2.07,0.01
Wholesale,3,cosine,average,64,0.37,460.74,0.64,0.01
Wholesale,3,cosine,complete,83,0.34,502.51,0.79,0.02
Wholesale,3,cosine,single,13,-0.49,0.5,1.85,0.01
