Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,manhattan,average,1,,,,1.34
CC General,2,manhattan,complete,1,,,,1.39
CC General,2,manhattan,single,1,,,,0.28
COVID-19,2,manhattan,average,4,0.68,849.85,0.48,0.0
COVID-19,2,manhattan,complete,7,0.63,1077.85,0.51,0.0
COVID-19,2,manhattan,single,1,,,,0.0
Credit Card,2,manhattan,average,1,,,,0.01
Credit Card,2,manhattan,complete,2,0.6,383.87,0.37,0.01
Credit Card,2,manhattan,single,1,,,,0.0
Mall Customer,2,manhattan,average,3,0.79,853.59,0.31,0.0
Mall Customer,2,manhattan,complete,4,0.86,2972.08,0.31,0.0
Mall Customer,2,manhattan,single,2,0.74,316.82,0.29,0.0
Sales Transactions,2,manhattan,average,1,,,,0.01
Sales Transactions,2,manhattan,complete,2,0.44,520.8,0.77,0.02
Sales Transactions,2,manhattan,single,1,,,,0.0
Wholesale,2,manhattan,average,2,0.46,325.96,0.83,0.01
Wholesale,2,manhattan,complete,4,0.52,898.53,0.75,0.01
Wholesale,2,manhattan,single,1,,,,0.0
