Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,3,minkowski,average,1,,,,4.64
CC General,3,minkowski,complete,1,,,,4.78
CC General,3,minkowski,single,1,,,,3.05
COVID-19,3,minkowski,average,7,0.52,362.9,0.65,0.02
COVID-19,3,minkowski,complete,11,0.51,456.92,0.73,0.02
COVID-19,3,minkowski,single,1,,,,0.01
Credit Card,3,minkowski,average,2,0.58,336.75,0.39,0.04
Credit Card,3,minkowski,complete,2,0.58,336.75,0.39,0.05
Credit Card,3,minkowski,single,1,,,,0.02
Mall Customer,3,minkowski,average,5,0.73,685.4,0.34,0.01
Mall Customer,3,minkowski,complete,7,0.7,1514.61,0.4,0.02
Mall Customer,3,minkowski,single,3,0.54,123.04,0.96,0.01
Sales Transactions,3,minkowski,average,1,,,,0.04
Sales Transactions,3,minkowski,complete,1,,,,0.04
Sales Transactions,3,minkowski,single,1,,,,0.03
Wholesale,3,minkowski,average,2,0.38,154.91,0.72,0.02
Wholesale,3,minkowski,complete,5,0.48,499.54,0.68,0.04
Wholesale,3,minkowski,single,1,,,,0.01
