Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,3,manhattan,average,1,,,,1.43
CC General,3,manhattan,complete,1,,,,1.55
CC General,3,manhattan,single,1,,,,0.28
COVID-19,3,manhattan,average,12,0.51,331.37,0.63,0.0
COVID-19,3,manhattan,complete,21,0.43,490.66,0.74,0.01
COVID-19,3,manhattan,single,1,,,,0.0
Credit Card,3,manhattan,average,2,0.58,336.75,0.39,0.01
Credit Card,3,manhattan,complete,4,0.78,2902.51,0.33,0.01
Credit Card,3,manhattan,single,1,,,,0.0
Mall Customer,3,manhattan,average,5,0.73,685.4,0.34,0.0
Mall Customer,3,manhattan,complete,7,0.7,1514.61,0.4,0.0
Mall Customer,3,manhattan,single,3,0.54,123.04,0.96,0.0
Sales Transactions,3,manhattan,average,1,,,,0.01
Sales Transactions,3,manhattan,complete,4,0.52,923.03,0.65,0.02
Sales Transactions,3,manhattan,single,1,,,,0.0
Wholesale,3,manhattan,average,5,0.46,395.78,0.63,0.01
Wholesale,3,manhattan,complete,10,0.45,584.85,0.71,0.01
Wholesale,3,manhattan,single,1,,,,0.0
