Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,minkowski,average,1,,,,4.77
CC General,4,minkowski,complete,1,,,,4.97
CC General,4,minkowski,single,1,,,,3.12
COVID-19,4,minkowski,average,9,0.46,221.68,0.76,0.02
COVID-19,4,minkowski,complete,21,0.48,285.91,0.7,0.02
COVID-19,4,minkowski,single,1,,,,0.01
Credit Card,4,minkowski,average,2,0.49,224.48,0.47,0.04
Credit Card,4,minkowski,complete,3,0.44,272.18,0.62,0.06
Credit Card,4,minkowski,single,1,,,,0.02
Mall Customer,4,minkowski,average,8,0.66,561.88,0.34,0.02
Mall Customer,4,minkowski,complete,11,0.65,1076.02,0.4,0.02
Mall Customer,4,minkowski,single,3,0.48,93.85,1.06,0.01
Sales Transactions,4,minkowski,average,1,,,,0.04
Sales Transactions,4,minkowski,complete,3,0.25,209.96,1.6,0.08
Sales Transactions,4,minkowski,single,1,,,,0.03
Wholesale,4,minkowski,average,4,0.36,189.23,0.81,0.02
Wholesale,4,minkowski,complete,7,0.46,390.08,0.66,0.04
Wholesale,4,minkowski,single,1,,,,0.01
