Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,chebyshev,average,1,,,,2.11
CC General,2,chebyshev,complete,1,,,,2.24
CC General,2,chebyshev,single,1,,,,1.49
COVID-19,2,chebyshev,average,2,0.44,128.2,0.68,0.0
COVID-19,2,chebyshev,complete,4,0.68,877.19,0.47,0.01
COVID-19,2,chebyshev,single,1,,,,0.0
Credit Card,2,chebyshev,average,1,,,,0.01
Credit Card,2,chebyshev,complete,1,,,,0.01
Credit Card,2,chebyshev,single,1,,,,0.01
Mall Customer,2,chebyshev,average,2,0.68,210.4,0.35,0.0
Mall Customer,2,chebyshev,complete,3,0.62,344.32,0.45,0.0
Mall Customer,2,chebyshev,single,1,,,,0.0
Sales Transactions,2,chebyshev,average,1,,,,0.02
Sales Transactions,2,chebyshev,complete,1,,,,0.02
Sales Transactions,2,chebyshev,single,1,,,,0.01
Wholesale,2,chebyshev,average,1,,,,0.01
Wholesale,2,chebyshev,complete,1,,,,0.01
Wholesale,2,chebyshev,single,1,,,,0.0
