Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,euclidean,ward,5,0.47,5492.03,0.88,2.46
CC General,4,euclidean,average,1,,,,1.49
CC General,4,euclidean,complete,1,,,,1.61
CC General,4,euclidean,single,1,,,,0.36
COVID-19,4,euclidean,ward,21,0.46,302.3,0.74,0.01
COVID-19,4,euclidean,average,6,0.51,205.36,0.75,0.0
COVID-19,4,euclidean,complete,12,0.44,218.73,0.79,0.0
COVID-19,4,euclidean,single,1,,,,0.0
Credit Card,4,euclidean,ward,10,0.68,3093.45,0.49,0.02
Credit Card,4,euclidean,average,1,,,,0.01
Credit Card,4,euclidean,complete,1,,,,0.01
Credit Card,4,euclidean,single,1,,,,0.0
Mall Customer,4,euclidean,ward,13,0.63,1520.17,0.53,0.01
Mall Customer,4,euclidean,average,5,0.78,652.91,0.33,0.0
Mall Customer,4,euclidean,complete,6,0.75,851.59,0.34,0.0
Mall Customer,4,euclidean,single,3,0.47,90.59,1.09,0.0
Sales Transactions,4,euclidean,ward,13,0.37,532.35,0.94,0.02
Sales Transactions,4,euclidean,average,1,,,,0.01
Sales Transactions,4,euclidean,complete,1,,,,0.01
Sales Transactions,4,euclidean,single,1,,,,0.0
Wholesale,4,euclidean,ward,17,0.43,509.74,0.75,0.01
Wholesale,4,euclidean,average,1,,,,0.0
Wholesale,4,euclidean,complete,4,0.41,208.65,1.11,0.01
Wholesale,4,euclidean,single,1,,,,0.0
