Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,minkowski,average,1,,,,4.76
CC General,4,minkowski,complete,1,,,,4.96
CC General,4,minkowski,single,1,,,,3.15
COVID-19,4,minkowski,average,6,0.51,205.36,0.75,0.02
COVID-19,4,minkowski,complete,12,0.44,218.73,0.79,0.02
COVID-19,4,minkowski,single,1,,,,0.01
Credit Card,4,minkowski,average,1,,,,0.03
Credit Card,4,minkowski,complete,1,,,,0.03
Credit Card,4,minkowski,single,1,,,,0.02
Mall Customer,4,minkowski,average,5,0.78,652.91,0.33,0.02
Mall Customer,4,minkowski,complete,6,0.75,851.59,0.34,0.02
Mall Customer,4,minkowski,single,3,0.47,90.59,1.09,0.01
Sales Transactions,4,minkowski,average,1,,,,0.04
Sales Transactions,4,minkowski,complete,1,,,,0.04
Sales Transactions,4,minkowski,single,1,,,,0.03
Wholesale,4,minkowski,average,1,,,,0.01
Wholesale,4,minkowski,complete,4,0.41,208.65,1.11,0.02
Wholesale,4,minkowski,single,1,,,,0.01
