Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,euclidean,ward,3,0.52,9873.92,0.77,2.36
CC General,2,euclidean,average,1,,,,1.38
CC General,2,euclidean,complete,1,,,,1.51
CC General,2,euclidean,single,1,,,,0.34
COVID-19,2,euclidean,ward,8,0.6,1244.86,0.53,0.0
COVID-19,2,euclidean,average,3,0.65,485.78,0.47,0.0
COVID-19,2,euclidean,complete,4,0.67,805.9,0.46,0.0
COVID-19,2,euclidean,single,1,,,,0.0
Credit Card,2,euclidean,ward,4,0.8,5436.48,0.3,0.02
Credit Card,2,euclidean,average,1,,,,0.01
Credit Card,2,euclidean,complete,1,,,,0.01
Credit Card,2,euclidean,single,1,,,,0.0
Mall Customer,2,euclidean,ward,5,0.85,5787.84,0.3,0.0
Mall Customer,2,euclidean,average,2,0.68,210.4,0.35,0.0
Mall Customer,2,euclidean,complete,3,0.62,344.32,0.45,0.0
Mall Customer,2,euclidean,single,1,,,,0.0
Sales Transactions,2,euclidean,ward,6,0.56,2747.87,0.51,0.02
Sales Transactions,2,euclidean,average,1,,,,0.01
Sales Transactions,2,euclidean,complete,1,,,,0.01
Sales Transactions,2,euclidean,single,1,,,,0.0
Wholesale,2,euclidean,ward,9,0.48,1266.0,0.65,0.01
Wholesale,2,euclidean,average,1,,,,0.0
Wholesale,2,euclidean,complete,1,,,,0.01
Wholesale,2,euclidean,single,1,,,,0.0
