Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,3,chebyshev,average,1,,,,2.33
CC General,3,chebyshev,complete,1,,,,2.45
CC General,3,chebyshev,single,1,,,,1.59
COVID-19,3,chebyshev,average,3,0.38,109.03,0.91,0.0
COVID-19,3,chebyshev,complete,7,0.54,424.12,0.67,0.0
COVID-19,3,chebyshev,single,1,,,,0.0
Credit Card,3,chebyshev,average,1,,,,0.01
Credit Card,3,chebyshev,complete,1,,,,0.01
Credit Card,3,chebyshev,single,1,,,,0.01
Mall Customer,3,chebyshev,average,3,0.61,243.91,0.45,0.0
Mall Customer,3,chebyshev,complete,5,0.74,1319.82,0.38,0.0
Mall Customer,3,chebyshev,single,1,,,,0.0
Sales Transactions,3,chebyshev,average,1,,,,0.02
Sales Transactions,3,chebyshev,complete,1,,,,0.02
Sales Transactions,3,chebyshev,single,1,,,,0.01
Wholesale,3,chebyshev,average,1,,,,0.01
Wholesale,3,chebyshev,complete,1,,,,0.01
Wholesale,3,chebyshev,single,1,,,,0.0
