Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,minkowski,average,1,,,,4.24
CC General,2,minkowski,complete,1,,,,4.53
CC General,2,minkowski,single,1,,,,2.95
COVID-19,2,minkowski,average,3,0.65,485.78,0.47,0.01
COVID-19,2,minkowski,complete,4,0.67,805.9,0.46,0.02
COVID-19,2,minkowski,single,1,,,,0.01
Credit Card,2,minkowski,average,1,,,,0.03
Credit Card,2,minkowski,complete,1,,,,0.03
Credit Card,2,minkowski,single,1,,,,0.02
Mall Customer,2,minkowski,average,2,0.68,210.4,0.35,0.01
Mall Customer,2,minkowski,complete,3,0.62,344.32,0.45,0.01
Mall Customer,2,minkowski,single,1,,,,0.01
Sales Transactions,2,minkowski,average,1,,,,0.04
Sales Transactions,2,minkowski,complete,1,,,,0.04
Sales Transactions,2,minkowski,single,1,,,,0.03
Wholesale,2,minkowski,average,1,,,,0.01
Wholesale,2,minkowski,complete,1,,,,0.02
Wholesale,2,minkowski,single,1,,,,0.01
