Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,manhattan,average,1,,,,1.29
CC General,2,manhattan,complete,1,,,,1.38
CC General,2,manhattan,single,1,,,,0.28
COVID-19,2,manhattan,average,9,0.61,1089.96,0.47,0.0
COVID-19,2,manhattan,complete,15,0.54,1505.93,0.52,0.01
COVID-19,2,manhattan,single,1,,,,0.0
Credit Card,2,manhattan,average,3,0.73,1612.18,0.33,0.01
Credit Card,2,manhattan,complete,5,0.78,6560.13,0.35,0.02
Credit Card,2,manhattan,single,1,,,,0.0
Mall Customer,2,manhattan,average,4,0.86,4191.69,0.28,0.0
Mall Customer,2,manhattan,complete,5,0.85,6564.5,0.3,0.0
Mall Customer,2,manhattan,single,3,0.86,1235.88,0.23,0.0
Sales Transactions,2,manhattan,average,3,0.55,1110.61,0.52,0.02
Sales Transactions,2,manhattan,complete,4,0.59,2142.59,0.56,0.02
Sales Transactions,2,manhattan,single,1,,,,0.0
Wholesale,2,manhattan,average,5,0.55,1104.52,0.64,0.01
Wholesale,2,manhattan,complete,12,0.43,1203.06,0.79,0.01
Wholesale,2,manhattan,single,1,,,,0.0
