Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,chebyshev,average,1,,,,2.14
CC General,2,chebyshev,complete,1,,,,2.28
CC General,2,chebyshev,single,1,,,,1.47
COVID-19,2,chebyshev,average,8,0.61,875.3,0.47,0.0
COVID-19,2,chebyshev,complete,12,0.56,1462.97,0.53,0.01
COVID-19,2,chebyshev,single,1,,,,0.0
Credit Card,2,chebyshev,average,3,0.73,1612.18,0.33,0.02
Credit Card,2,chebyshev,complete,4,0.8,5512.87,0.29,0.02
Credit Card,2,chebyshev,single,1,,,,0.01
Mall Customer,2,chebyshev,average,4,0.86,4191.69,0.28,0.0
Mall Customer,2,chebyshev,complete,5,0.85,6564.5,0.3,0.0
Mall Customer,2,chebyshev,single,3,0.86,1235.88,0.23,0.0
Sales Transactions,2,chebyshev,average,1,,,,0.02
Sales Transactions,2,chebyshev,complete,3,0.34,420.72,0.9,0.03
Sales Transactions,2,chebyshev,single,1,,,,0.01
Wholesale,2,chebyshev,average,3,0.58,790.56,0.56,0.01
Wholesale,2,chebyshev,complete,7,0.47,891.14,0.66,0.01
Wholesale,2,chebyshev,single,1,,,,0.0
